Job Title,,,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Business Development Executive,,, Forecasting,Finance/Audit,Delhi,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst
 PPC Executive,,, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist
 Opening For the post of Mr/territory Business Manager in An Pharma,,, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,"Delhi NCR,Delhi","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative
 Deputy Manager - Program Management,,, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance
 Public Relations Manager - Bangalore,,, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager
 Female Fresher's Counsellor- Gurgaon,,, counselling| couselling| fresher| student counsellor| student counseling,Other,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher
 BE Chemical - Fresher,,, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Ahmedabad,Bharuch","Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher
 Senior .Net Developer For Leading IT Company in Gurgaon,,, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"Delhi NCR,Gurgaon,Delhi","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring a Valuation Associate (female Only),,, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,Gurgaon,Analytics & Business Intelligence,"Real Estate, Property",Other
 Merchandising & Marketing- Professor,,, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
 Medical Transcriber,,, X - Ray| Medical Transcription| Ultrasound| CT Scan,Drug Regulatory Affairs/Documentation,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing
 PHP Developer,,, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"Noida,Noida/Greater Noida","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Business Development Manager,,, Sales| Management| Sales management| Educational sales,Retail Sales,Noida,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
 Looking for a Job Change With a good package,,, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Huge Requirement for Customer Care Executive with Fixed Salary,,, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
Assistant Manager – BI&I (data Automation),,,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,Admin/Maintenance/Security/Datawarehousing, Mumbai,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT/Networking-Manager
 Field Sales Executive,,, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Retail Sales,Ghaziabad,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
 Sr. Manager Sales Capability Building,,, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Support,Kolkata,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer
 Service Ops Expert - Servc Del | Microland,,, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),,, planning| training| training manager| trainer| faculty,Teachers,"Ahmedabad,Indore","Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer
 Sales Manager,,, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Retail Sales,Chandigarh,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Field Support Team-Supervisor,,, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Admin/Maintenance/Security/Datawarehousing,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance",Other,Technical Support Engineer
 Sr. C# Developer,,, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sr Structural Engineer,,, Senior Design Engineer| Engineering Design| SACS,Engineering Design,Mumbai,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer
 IT Security Head ,,, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Senior Management,Hyderabad,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO
 Technical Support Executive,,, Technical Support Executive| Electrical engineering,Voice,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical)
 Analyst - Business Intelligence,,, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
Nokia WING Circuit Core - SMSC Engineer,,,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Programming & Design,Noida,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer
 Assistant Restaurant Manager / Restaurant Manager,,, assistant restaurant manager| restaurant| restaurant manager,Food & Beverage,Delhi NCR,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager
 Digital / Web Artist,,, layout| visualization| digital media| graphic design| html| illustration| tools| part time,Creative,"Mumbai,Mumbai","Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer
 Business Development Manager,,, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"Mumbai,Mumbai","Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales
 Web/ GUI Designer,,, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer
" Web Designer - Html, CSS, Bootstrap, Photoshop",,, Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer
 Python Developer,,, Python,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Web Designer,,, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer
 AVP- FX MO,,, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Senior Management,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura,,, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,Senior Management,"Delhi NCR,Mumbai,Pune,Ahmedabad,Nagpur,Nashik,Gujarat,Maharashtra","Sales , Retail , Business Development",Insurance,Head/VP/GM/National Manager -Sales
 Head - Project Management,,, Project Management,Senior Management,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Head/VP/GM-Operations
 Walk- In For Development QA/ Regulatory Affairs,,, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,R&D,Hyderabad,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Research Scientist
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),,, accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts,Delhi NCR,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Accounts Manager
 Team Leader- Head Digital Prtnrshp & BD,,, Data analysis| Consumer research| Management| Head Business Development,Retail Sales,Mumbai,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 DWH Tester - Manual Testing,,, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Programming & Design,"Delhi NCR,Gurgaon",IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Quality Assurance Engineer,,, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,QA/Testing/Documentation,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Quality Assurance/Quality Control Executive
 Technical / Functional Skills,,, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Institutional Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Software Development / Software Engineer,,, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
,,,vide,,,,,
 Inbound Phone Banking Voice Process - Leading Bank - Noida,,, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Voice,Noida,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Associate/Senior Associate -(NonTechnical)
Java Enterprise Edition,,,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Programming & Design, Mumbai,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Associate Clinical Data Processor,,, MS Office| Data entry,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
,,,Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Counter|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales,,,,,
 CRM,,, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Corporate Sales,Bengaluru,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Magento Developer,,, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Programming & Design,Ahmedabad,IT Software - System Programming,"BPO, Call Centre, ITeS",Software Developer
 Merchandiser,,, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Production/Merchandising/Business Development,"Thane,Mumbai,Navi Mumbai","Export , Import , Merchandising","Textiles, Garments, Accessories",Merchandiser
 SIEM Analyst,,,vide,Admin/Maintenance/Security/Datawarehousing,"Hyderabad,Bengaluru","IT Software - Network Administration , Security","Recruitment, Staffing",System Security
 Hiring ll Azure Devops and Management Lead ll Hyderabad,,, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Senior Faculty - Information Design,,,vide,,Bengaluru,"Teaching , Education , Training , Counselling","Education, Teaching, Training",
 computer operator,,, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level,,"Gurgaon,Noida","Executive Assistant , Front Office , Data Entry","IT-Software, Software Services",Stenographer/Data Entry Operator
 Operation Executive,,, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,Administration/Facility Management,Delhi NCR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Executive/ Sr Executive - Administration
 Customer Support Executive,,, Customer Support Executive| Customer service| Business Executive| process,Voice,Chandigarh,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Corporate-Day Care Manager.,,, Staff Training| Day Care| Recruitment,Teachers,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",DaycareTeacher / Incharge / Attendant
 Hiring going on for .US Inbound Tech Support/ Sales,,, process| Spot| Technical support| Night shift| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
Deputy Manager- Performance/digital Marketing,,,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Online/Digital Marketing, Delhi NCR,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training,Social Media Marketing Manager
" Technical Lead -(VoIP,Cisco Call Manager)",,, java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,"Bengaluru,Bengaluru / Bangalore",IT Software - Telecom Software,"IT-Software, Software Services",Team Lead/Technical Lead
,,,vide,,,,,
 Relationship Manager,,, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,Channel Sales,Chandigarh,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales / BD Manager
" Technician, Technical Support",,, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Admin/Maintenance/Security/Datawarehousing,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
 Graphic Designer,,, Illustrator| Corel Draw| Photoshop,Creative,Gurgaon,"Design , Creative , User Experience","Education, Teaching, Training",Graphic Designer
 Consultant,,, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
 Immediate Requirement for Fusion Technical Lead Developer,,, Technical Architecture| Fusion| Oracle Fusion,Programming & Design,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Layout Designer / Web Designer,,, Layout design| Corel Draw| Web designing| Photoshop,Programming & Design,Ahmedabad,IT Software - Other,"Recruitment, Staffing",Graphic/Web Designer
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc,,, Bpo Voice| Voice Process| International BPO,Voice,"Mumbai,Mumbai Suburbs,Navi Mumbai,Thane,Vasai","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Asp.net with Angular JS & Html5 - Hyderabad,,, HTML5| ASP,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Manager Product and Portfolio,,, Product training| Sales| Relationship| Banking| Recruitment,Retail Sales,Hyderabad,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 Key Accounts Manager,,, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,Corporate Sales,Mumbai,"Sales , Retail , Business Development","Recruitment, Staffing",Client Servicing/Key Account Manager
 Store Head-leading Manufacturing Company,,, Stores| warehouse| Logistics,Logistics,Bengaluru,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Manager
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl,,, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Java Software Engineer,,, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
 Admin Executive,,, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,Administration/Facility Management,Chandigarh,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Executive/ Sr Executive - Administration
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa,,, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,Senior Management,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Finance/Audit
 Accounts Manager (male),,, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts,"Gurgaon,Noida","Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
 Opening for French Specialist Accounts Payable,,, accounts payable| accounting| AP,Back Office/Web/Transaction Processing,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Applications Analyst OEE,,, Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer
 Customer Service Engineer - - ICD Security Solutions,,, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV,Corporate Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Client Servicing/Key Account Manager
 Urgently Required Senior PHP Developer(laravel) || Gurgaon ,,, CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Associate Process Consultant,,, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,Project Management,Pune,IT Software - Telecom Software,"IT-Software, Software Services",Project Manager-IT/Software
 Infrastructure management- Lecturer,,, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,Ghaziabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
 Finance Admin,,, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,Finance/Audit,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Financial Analyst
 Guest Relations Executive,,, Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising,Senior Management,"Mumbai,Delhi","Sales , Retail , Business Development","NGO, Social Services, Regulators, Industry Associations",Head/VP/GM/National Manager -Sales
 Salesforce System Architect,,, salesforce| salesforce.com| system design| application architecture,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
,,,vide,,,,,
System Monitoring Tools & Techniques Professional,,,Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring,Project Management, Bengaluru,"IT Software - ERP , CRM",IT-Software / Software Services,Project Manager-IT/Software
 HR Recruiter,,, Recruitment| Hiring| HR| Screening| Interviewing| Staffing,Other,Navi Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher
 Business Development Manager (eCommerce),,, bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Corporate Sales,Delhi,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Java Developer - Spring/ Hibernate,,, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Python Developer,,, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales And Marketing/Business Development manager,,, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,Retail Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Microsoft Developer,,, build automation| Entity framework| MVC| microsoft| SQL,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Customer Service Executive (Adeeba Group) for Tech Support/ Sales,,, Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Inbound Technical Support With Attractive Salary Package,,, Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
" Placement Officer,",,, HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer,Other,Pune,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Outside Consultant
 Walk-in Interviews For Sr.executive - Procurement on 5th July,,, Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management,Purchase/Material Management,Gurgaon,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase Executive
Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,,,Test Engineering,Programming & Design,Bengaluru (Bellandur) ,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Senior TSA Inbound Tech Process,,, Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Freelance Corporate Trainer on Taleo,,, Corporate Training| corporate trainer| technical trainer,Teachers,Bengaluru,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Trainer
 Senior Java Developer- Urgently Required by Mumbai IT Company,,, java| mongodb| Hibernate| spring| jms,Programming & Design,Mumbai (Sakinaka) ,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager Procurement,,, Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive,Purchase/Material Management,Mumbai,Purchase / Logistics / Supply Chain,"Advertising, PR, MR, Event Management",Purchase/Vendor Development Manager
 Senior Software Engineer - UI Development - Javascript/angularjs,,, software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Telle Caller,,, good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,Voice,Delhi,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Telecalling/Telemarketing Executive
 Documentation Executive,,, e - tendering| Tender Preparation| bid preparation| proposal preparation,,Delhi NCR (Green Park) ,Other,"Architecture, Interior Design",Other
 Restaurant Cashier,,, Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT,Front Office/Customer Care,Delhi NCR (Shakti Nagar) ,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Cashier
" Opening For Dot Net Developer @ Baner, Pune",,, C#| .Net| Asp.net,Other,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher
 Management Trainee,,, Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office,Other,Pune,"Sales , Retail , Business Development",Insurance,Trainee
 Junior Company Secretary,,, Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst,Programming & Design,Gurgaon,IT Software - QA & Testing,"Medical, Healthcare, Hospitals",Testing Engineer
 Production Manager,,, Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing,Production/Manufacturing/Maintenance,"Chandigarh,Panchkula","Production , Manufacturing , Maintenance","Internet, Ecommerce",Production Manager
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice),,, Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Business Transformation Consultant,,, project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management,,"Delhi NCR,Mumbai,Bengaluru",Other,"Strategy, Management Consulting Firms",Other
 Content Editor,,, Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration,Content Development,Hyderabad,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Graphics Hardware Engineer,,, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Visual Designer,,, Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer,Creative,Bengaluru,"Design , Creative , User Experience","IT-Software, Software Services",Visualiser
 Web Designer,,, Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
 ACCOUNTS EXECUTIVES,,, Tally| Retail| Accounts Executive| Retail Executive,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Industrial Products, Heavy Machinery",Accounts Executive/Accountant
 Finance & Accounting Associates,,, Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking,Accounts,Noida,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Manager
 DEALER - RETAIL BROKING,,, NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling,Institutional Sales,Kolkata,"Sales , Retail , Business Development","Accounting, Finance",Sales Executive/Officer
 SENIOR SOFTWARE DEVELOPER (MVC .NET),,, MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Client Relationship Partner,,, MIS reporting| Trade| Operational risk| Banking| Relationship| Client relationship| Saving,Retail/Personal Banking,Bengaluru,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)",,, sales strategy| sales management| B2B Sales| corporate sales| institutional sales,Institutional Sales,"Mumbai,Pune","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
